temprature-zone1,temprature-zone2,humidity-zone1,humidity-zone2,light1-zone1,light2-zone1,water-zone1,feed-zone1
32.33,33.7,45.97,44.85,46.45,40.26,105.21,99.09
26.12,38.9,45.91,37.4,49.27,58.11,95.33,83.83
30.71,36.66,49.77,42.75,34.42,50.65,102.03,81.85
32.46,33.25,46.04,37.46,27.62,32.4,109.76,86.57
32.76,37.0,49.22,44.86,22.92,54.74,95.23,89.51
32.35,39.42,54.15,40.23,39.0,31.67,107.05,81.23
29.25,38.78,52.91,35.87,40.32,43.51,98.55,92.51
34.42,36.59,48.49,35.44,21.82,35.96,100.75,84.24
32.14,31.78,47.04,43.64,47.07,57.87,106.26,88.28
34.86,33.08,45.27,37.68,45.13,40.38,97.39,99.35
33.59,34.15,46.74,42.89,21.57,49.6,101.8,85.63
28.85,39.94,50.65,38.5,36.86,35.2,90.41,99.04
27.18,32.89,53.9,35.43,21.52,35.07,97.05,90.06
28.95,37.64,52.91,44.74,42.66,34.23,106.68,94.58
27.61,32.74,54.7,41.83,42.48,57.39,96.98,90.51
30.72,35.68,51.22,40.45,28.99,56.33,95.09,90.52
33.67,33.92,46.15,41.77,31.61,46.09,91.86,89.86
30.97,30.26,51.89,42.32,30.98,47.06,98.22,99.17
31.79,33.65,48.55,38.74,46.11,50.28,102.3,99.6
29.99,34.71,45.36,40.34,33.23,44.04,107.94,81.58
31.22,35.63,53.61,36.95,39.34,56.67,98.53,91.87
29.48,39.32,46.93,44.41,32.0,33.59,109.88,99.86
29.6,36.06,47.09,37.62,30.09,40.17,90.45,80.67
25.56,38.39,50.85,40.9,35.87,48.43,94.75,94.61
25.7,37.64,49.82,36.13,32.62,53.91,107.73,97.03
32.22,33.22,54.35,38.6,23.62,47.24,103.29,84.21
34.76,30.52,50.37,37.87,47.94,43.0,98.36,90.88
29.02,32.23,52.86,39.96,41.41,33.23,101.18,82.23
27.73,35.04,53.62,43.48,20.48,44.12,91.84,96.71
27.58,39.81,47.42,36.51,32.97,54.17,97.76,87.82
27.63,33.25,54.96,44.19,43.99,41.13,102.15,95.85
34.55,36.09,46.2,43.66,35.68,54.11,100.66,94.79
31.77,35.86,48.57,35.86,20.06,50.52,93.47,95.13
31.77,39.78,46.17,43.68,38.07,33.01,99.38,84.97
30.75,37.12,48.9,35.0,20.07,45.72,97.4,82.22
34.99,30.05,52.33,39.58,48.1,47.42,100.6,89.85
26.15,33.92,46.49,37.27,22.88,38.3,94.93,90.29
27.82,30.53,48.6,44.98,42.98,41.22,107.36,83.82
29.57,34.89,51.27,42.93,33.87,50.47,104.74,95.89
33.4,37.13,54.72,39.64,47.87,51.38,93.16,90.24
33.37,36.27,51.3,39.41,32.22,41.87,107.35,84.05
25.46,39.83,52.23,42.96,26.76,48.01,98.14,87.22
32.23,37.24,52.72,41.95,44.08,30.89,100.64,94.49
32.1,31.96,48.03,38.39,26.78,53.51,94.38,89.41
31.23,35.53,46.74,37.81,39.7,55.63,93.23,89.97
31.97,33.64,52.95,40.11,39.89,53.94,100.31,80.75
31.48,31.15,48.3,39.15,27.27,48.69,103.54,88.62
33.61,38.1,52.02,42.16,45.74,50.85,98.32,91.49
31.61,35.71,47.83,39.96,26.04,43.94,98.61,81.79
32.57,36.53,50.85,35.26,40.18,45.73,109.04,98.7
30.91,33.28,45.52,40.44,44.29,31.39,103.59,84.53
32.68,36.04,54.94,39.57,38.93,46.07,108.56,99.02
31.81,30.4,50.34,42.61,36.4,35.29,99.84,87.11
25.27,32.69,50.4,38.09,23.66,37.23,103.52,96.44
32.41,35.2,52.05,40.19,31.37,32.02,108.69,83.47
32.91,39.57,50.22,42.77,34.19,56.25,109.68,91.06
26.19,34.73,45.59,39.56,44.33,34.92,92.44,89.56
34.2,39.46,49.75,40.83,22.06,33.76,104.97,92.32
25.86,30.13,51.56,35.99,27.22,42.01,107.04,89.25
26.8,34.22,51.97,43.39,31.93,58.75,101.77,96.2
32.0,31.61,46.72,39.14,33.14,35.94,90.4,85.71
27.2,39.44,49.59,35.36,46.35,36.31,105.15,95.74
30.88,32.49,53.03,39.04,48.74,33.66,108.36,91.17
28.02,34.79,50.23,38.0,31.95,50.81,99.29,95.81
32.98,33.92,54.0,39.79,23.92,42.2,109.31,86.11
31.31,39.36,45.27,37.69,40.96,39.77,100.28,83.76
34.2,37.21,48.75,43.06,40.88,51.58,104.9,92.09
26.56,32.71,52.82,43.02,28.37,50.52,106.68,88.65
29.47,34.49,52.78,43.72,25.55,49.07,98.07,82.32
31.5,32.45,54.71,41.68,47.15,33.94,109.32,82.39
34.48,32.53,48.62,35.76,32.87,58.25,97.0,80.15
31.28,37.75,47.25,36.1,21.11,41.98,92.42,88.73
31.46,37.21,46.74,35.55,35.14,31.17,93.84,91.06
25.68,38.09,47.62,43.55,40.2,33.28,94.2,93.99
25.96,38.51,46.12,39.24,21.99,39.83,90.62,96.45
29.78,39.96,53.57,35.54,45.56,43.28,108.81,86.58
31.71,30.27,46.06,35.32,24.23,34.44,95.35,95.98
27.15,34.1,52.97,40.38,31.95,40.79,100.85,91.32
31.36,35.13,49.24,43.43,44.13,31.23,103.08,80.32
27.32,32.56,52.54,37.55,33.28,42.31,102.78,97.38
30.19,38.44,48.13,39.95,43.77,57.58,93.27,83.13
30.24,33.6,54.11,36.89,33.98,46.07,91.97,81.76
32.87,34.94,53.66,37.66,32.46,38.31,92.62,83.56
26.29,34.86,45.53,44.7,30.5,46.52,98.02,99.57
32.44,34.07,45.88,36.08,34.62,57.79,95.73,91.73
32.33,38.1,45.5,35.03,29.14,41.31,102.63,84.06
34.0,32.93,51.21,35.8,20.58,30.29,100.55,84.87
25.72,35.96,51.83,40.3,37.74,36.23,93.4,94.24
32.32,38.41,48.95,36.91,40.47,36.77,106.33,97.61
26.86,35.59,53.33,35.4,22.27,43.71,104.36,84.02
30.6,38.23,45.59,44.22,45.62,36.48,102.73,85.79
28.23,32.53,53.11,39.96,26.72,47.08,106.82,92.88
28.19,30.06,46.31,40.37,42.06,54.44,94.16,86.39
34.2,33.2,47.84,42.76,29.36,32.07,106.26,85.92
31.74,36.89,47.67,44.77,37.51,54.36,102.83,93.19
25.42,36.43,50.85,37.69,22.55,40.15,98.68,82.19
30.45,33.91,54.6,37.1,26.47,48.77,101.65,84.74
34.82,37.52,49.66,42.75,40.22,35.37,100.47,97.34
30.25,33.27,53.65,43.53,31.79,36.69,93.83,94.26
30.89,36.27,50.72,39.62,23.95,45.97,101.67,89.7
33.76,32.44,52.54,37.12,20.39,48.33,99.71,87.57
28.3,37.69,48.45,43.55,31.43,31.26,98.25,98.34
32.17,33.38,48.91,37.62,37.42,34.29,98.33,88.34
31.19,34.19,54.95,38.98,29.04,35.9,106.55,99.6
26.03,36.67,48.3,40.22,26.51,52.55,99.18,93.39
34.65,32.85,47.29,44.24,29.31,50.03,91.05,81.45
26.53,30.44,51.99,42.49,42.74,41.0,90.44,99.29
31.38,39.04,45.11,35.51,22.16,44.87,94.89,89.74
34.04,34.42,48.22,44.74,32.56,53.8,99.12,90.27
31.97,35.02,49.97,43.92,28.66,54.27,97.08,94.83
33.65,38.34,45.82,43.04,34.06,46.51,101.44,90.6
32.56,39.2,50.37,41.1,36.87,38.03,95.56,94.11
33.93,35.01,54.44,40.54,23.5,59.16,108.33,89.82
27.84,32.42,47.96,42.17,34.2,37.42,106.72,87.42
28.58,39.87,49.79,42.22,32.62,40.81,102.89,82.21
28.7,39.57,51.78,39.94,20.37,48.28,97.93,95.47
26.95,33.11,51.77,44.97,35.77,55.72,93.8,88.99
33.58,38.19,48.89,37.09,31.65,34.84,90.76,89.9
27.9,39.2,46.47,43.01,39.73,46.42,94.65,84.71
32.32,33.07,47.17,41.78,30.66,30.96,102.95,89.18
34.38,32.3,46.4,44.52,32.06,54.76,102.11,86.27
25.52,38.83,50.63,35.98,32.57,34.96,106.61,89.68
30.63,39.75,53.15,40.88,21.6,51.53,101.02,87.58
25.86,34.53,46.31,43.48,48.12,56.72,101.47,85.97
28.44,37.9,50.72,44.17,32.18,51.7,94.19,90.25
33.76,37.24,48.9,42.14,22.82,52.78,107.85,99.88
34.86,39.67,50.71,40.34,24.48,39.23,109.42,84.77
29.9,36.69,51.69,41.05,31.16,36.17,107.35,86.32
31.11,32.92,48.2,42.34,28.71,53.9,95.35,92.3
34.7,36.72,53.4,36.46,33.73,43.19,106.4,92.85
33.9,38.95,50.63,36.15,43.97,49.63,100.05,94.99
29.52,38.19,47.46,38.02,22.03,33.99,90.86,85.74
32.04,39.26,50.44,36.3,45.33,31.93,98.47,92.29
32.0,38.57,51.26,41.12,27.53,44.74,106.51,82.64
29.83,35.92,51.75,42.9,28.21,38.88,96.7,89.29
33.38,33.85,49.88,44.76,43.08,36.69,108.31,99.84
25.2,31.88,52.48,42.34,49.32,33.4,106.9,97.99
29.55,39.44,53.97,43.87,44.25,34.86,100.05,80.35
31.56,36.88,48.29,35.57,45.29,43.41,104.79,96.45
34.07,38.58,48.09,36.93,25.86,59.09,102.48,99.25
34.68,34.65,53.46,41.64,46.39,44.26,107.58,85.41
27.94,30.0,50.75,36.48,26.08,52.61,96.52,95.51
27.7,33.71,49.23,37.85,24.18,41.02,93.16,94.33
26.84,31.7,46.72,42.05,46.41,30.38,98.64,81.89
27.33,37.41,46.19,37.99,20.24,41.8,108.9,88.96
26.91,34.84,46.7,35.78,36.65,34.48,95.6,82.52
26.88,36.89,53.32,42.99,27.75,46.19,109.94,88.79
33.19,32.16,51.31,39.91,46.02,52.19,90.16,96.96
26.29,38.94,49.53,40.26,36.77,48.83,91.02,85.14
27.59,32.14,53.96,37.64,33.7,45.97,94.15,96.63
31.45,33.4,51.2,35.1,49.38,54.53,97.07,86.3
25.53,35.39,48.56,41.41,21.09,44.61,99.44,82.17
28.5,33.96,48.05,41.07,40.81,39.22,98.45,80.91
28.21,35.2,52.24,37.0,47.8,55.69,101.67,87.51
25.14,39.92,50.81,39.63,46.68,37.22,99.49,81.56
28.3,31.57,48.05,39.72,34.42,42.24,94.71,97.39
28.8,33.03,54.52,42.76,32.59,46.29,93.99,91.51
29.79,37.87,50.2,40.52,23.67,34.72,92.74,93.59
30.89,39.88,46.69,40.1,21.14,32.38,107.76,95.75
33.4,39.36,54.86,42.41,25.62,49.27,108.39,84.59
28.53,30.55,50.11,44.3,43.92,41.67,93.1,99.67
28.12,32.37,49.38,39.61,30.55,39.15,99.86,97.1
